test_case,nodes,is_scaling_test,lblr_queries,exhaustive_queries,exhaustive_theory_expected_queries,exhaustive_theory_error,exhaustive_theory_exact_match,lblr_theory_bound,lblr_over_theory_bound_ratio,query_reduction_pct,speedup_x,lblr_accuracy_pct,exhaustive_accuracy_pct,lblr_time_sec,exhaustive_time_sec
"Small Test Graph (2 components, 5 nodes each)",10,False,800,45,45,0,True,7858.273956902532,0.10180352637073666,-1677.7777777777778,0.05625,100.0,100.0,0.002357959747314453,4.267692565917969e-05
"Medium Test Graph (10 components, 50 nodes each)",500,False,328943,124750,124750,0,True,105081668.79078604,0.003130355691770694,-163.6817635270541,0.379245036374083,100.0,100.0,7.723631381988525,0.06217026710510254
"Large Test Graph (50 components, 20 nodes each)",1000,False,328309,499500,499500,0,True,388467746.66405517,0.0008451383745995259,34.27247247247247,1.5214325528694004,100.0,100.0,4.312485933303833,0.17526745796203613
"Large Test Graph (100 components, 20 nodes each)",2000,False,671013,1999000,1999000,0,True,1396141657.6602185,0.00048061956773393956,66.43256628314157,2.979077901620386,100.0,100.0,5.936140060424805,0.7575907707214355
"Large Test Graph (50 components, 40 nodes each)",2000,False,1105737,1999000,1999000,0,True,1396141657.6602185,0.0007919948480393422,44.685492746373185,1.8078439990703032,100.0,100.0,18.593324422836304,0.7098844051361084
Sparse Forest,1000,False,305326,499500,499500,0,True,48558468.333006896,0.00628780129360998,38.87367367367367,1.6359563220950721,100.0,100.0,4.491433382034302,0.17894768714904785
Dense Bounded-Degree Graph,500,False,1377107,124750,124750,0,True,1641901074.856032,0.0008387271444601192,-1003.8933867735471,0.09058845826794867,100.0,100.0,56.7370982170105,0.043949127197265625
Pareto alpha = 1.2,1000,False,657744,499500,499500,0,True,388467746.66405517,0.0016931753167369478,-31.68048048048048,0.7594139969349778,100.0,100.0,11.814072608947754,0.17830657958984375
Pareto alpha = 5.0,1000,False,634025,499500,499500,0,True,388467746.66405517,0.001632117480652265,-26.93193193193193,0.7878238239817041,100.0,100.0,11.66153335571289,0.17673683166503906
Few Large Components,500,False,1477811,124750,124750,0,True,354650632.1689029,0.0041669487263064865,-1084.6180360721444,0.08441539547344011,100.0,100.0,133.41310667991638,0.0443570613861084
Many Small Components,1000,False,177690,499500,499500,0,True,388467746.66405517,0.0004574124918372319,64.42642642642643,2.8110754685125783,100.0,100.0,0.8971445560455322,0.18882536888122559
Triangle-Rich Approximation,250,False,419269,31125,31125,0,True,428566575.1982908,0.0009783054121894855,-1247.0489959839358,0.07423634945583861,100.0,100.0,9.459053993225098,0.010679006576538086
Scaling graph n=100,100,True,33885,4950,4950,0,True,4314301.997688166,0.007854109429093604,-584.5454545454545,0.1460823373173971,100.0,100.0,0.27251768112182617,0.0017104148864746094
Scaling graph n=200,200,True,65365,19900,19900,0,True,17635468.075438987,0.0037064510973221173,-228.46733668341707,0.30444427445880823,100.0,100.0,0.5130083560943604,0.006673336029052734
Scaling graph n=400,400,True,132018,79800,79800,0,True,68488797.67445226,0.001927585305665914,-65.43609022556392,0.6044630277689406,100.0,100.0,1.0666654109954834,0.028307437896728516
Scaling graph n=800,800,True,267911,319600,319600,0,True,255873993.19353893,0.0010470427129237651,16.173028785982478,1.1929334741761257,100.0,100.0,2.1946158409118652,0.11279439926147461
Scaling graph n=1600,1600,True,533559,1279200,1279200,0,True,927375376.4836179,0.0005753430741531289,58.28963414634146,2.397485563920766,100.0,100.0,4.4550464153289795,0.45108580589294434
