label,alpha,max_degree,num_components,component_size,seed,dis_n,dis_m,dis_k,dis_D_max,dis_W_max,dis_queries,dis_edges_recovered,dis_accuracy_pct,dis_time_sec,dis_theory_bound,dis_queries_over_theory,con_n,con_m,con_D_max,con_W_max,con_queries,con_edges_recovered,con_accuracy_pct,con_time_sec,con_theory_bound,con_queries_over_theory,query_ratio_con_over_dis,time_ratio_con_over_dis,dis_passes,con_passes,scaling_dis_loglog_slope,scaling_con_loglog_slope
Baseline (standard params),2.0,4,10,20,42,200,210,10,4,7.561391618100992,65312,210,100.0,0.9112561000001733,35270936.150877975,0.0018517228950378805,200,219,4,14.055839269187473,355519,219,100.0,55.41330080000262,247881304.70525736,0.0014342307921233874,5.443394781969623,60.809799572252054,True,True,,
Heavy-tailed weights (alpha=1.2),1.2,4,10,20,42,200,210,10,4,29.129713902907593,72506,210,100.0,1.0729003000014927,47027914.86783731,0.0015417651453134553,200,219,4,81.86431592968749,370790,219,100.0,68.81144730000233,1443715530.0956552,0.0002568303743157995,5.113921606487739,64.13591952570671,True,True,,
Light-tailed weights (alpha=5.0),5.0,4,10,20,42,200,210,10,4,2.246160018762083,63523,210,100.0,1.34675900000002,24689655.305614583,0.0025728589246669016,200,219,4,2.8783441080614725,355740,219,100.0,84.79491770000095,50760945.627846,0.007008143674235478,5.600176314090959,62.962206081414486,True,True,,
"Low degree (D=2, tree-like)",2.0,2,10,20,42,200,190,10,2,7.561391618100992,30345,190,100.0,0.4259740999987116,3306650.26414481,0.009176960844345008,200,199,2,13.45696717721466,163663,199,100.0,20.72532560000036,29664989.38074993,0.005517042258110615,5.393409128357225,48.65395713040545,True,True,,
Medium degree (D=6),2.0,6,10,20,42,200,230,10,6,7.561391618100992,93644,230,100.0,1.8838476999990235,136447807.17693293,0.0006862990467745011,200,239,6,14.055839269187473,547404,239,100.0,114.52214729999832,836599403.3802435,0.0006543203327521367,5.845585408568621,60.79161670025538,True,True,,
High degree (D=10),2.0,10,5,30,42,150,185,5,9,13.962410616114996,136208,185,100.0,4.880656099998305,291541603.935459,0.00046719918584982984,150,189,8,13.45696717721466,476628,189,100.0,99.0477635999996,1065947750.0519468,0.0004471401154294594,3.499265828732527,20.29394441457041,True,True,,
"Many small components (k=50, size=10)",2.0,4,50,10,42,500,500,50,4,16.794163937188625,88000,500,100.0,1.000701899996784,210163337.5815721,0.0004187219379585841,500,549,4,14.055839269187473,1631142,549,100.0,966.9838460999999,1477011046.6612823,0.0011043532840780872,18.535704545454546,966.3055962051311,True,True,,
"Few large components (k=2, size=100)",2.0,4,2,100,42,200,204,2,4,14.025804561540985,219596,204,100.0,28.165210099999967,35270936.150877975,0.006225975944064466,200,205,4,13.45696717721466,335537,205,100.0,91.48401489999742,237319915.04599944,0.0014138594307812865,1.5279740978888505,3.2481211599411264,True,True,,
Dense graph (many extra edges),2.0,8,5,40,42,200,270,5,8,13.962410616114996,238588,270,100.0,15.918679000002157,352709361.50877976,0.0006764436276355001,200,274,8,14.055839269187473,791259,274,100.0,279.5162391999984,1983050437.6420588,0.0003990110311772224,3.316424128623401,17.559009714308612,True,True,,
Scaling n=50,2.0,4,2,25,42,50,52,2,4,6.969953793071193,21401,52,100.0,0.5344776999991154,1966294.747844394,0.010883922679171801,50,53,4,6.969953793071193,33187,53,100.0,1.6172088999992411,6852491.7680170005,0.004843055799774244,1.550721928881828,3.025774321364423,True,True,0.8948512138261049,1.6836597229252632
Scaling n=100,2.0,4,5,20,42,100,105,5,4,6.969953793071193,32221,105,100.0,0.7591511999999057,8628603.995376332,0.0037342077602895833,100,109,4,13.45696717721466,105831,109,100.0,13.400299699998868,58057420.375481285,0.0018228677629069164,3.2845349306352998,17.65168743723323,True,True,0.8948512138261049,1.6836597229252632
Scaling n=200,2.0,4,10,20,42,200,210,10,4,7.561391618100992,65312,210,100.0,2.208641400000488,35270936.150877975,0.0018517228950378805,200,219,4,14.055839269187473,355519,219,100.0,91.4127496000001,247881304.70525736,0.0014342307921233874,5.443394781969623,41.38867885025605,True,True,0.8948512138261049,1.6836597229252632
Scaling n=400,2.0,4,20,20,42,400,420,20,4,16.794163937188625,133682,420,100.0,3.504668200002925,136977595.34890452,0.0009759406248846018,400,439,4,14.055839269187473,1083906,439,100.0,606.4522967000012,962667531.8520018,0.001125940123808639,8.108092338534732,173.04128724639185,True,True,0.8948512138261049,1.6836597229252632
